Question_Entity,Question,ans_tfIdf,exe_time_tfIdf,ans_w2v,exe_time_w2v
Drink_and_snacks,Which sweet made of sesame seeds and jaggery ?,Maharashtra. Tilgul sweet made of sesame seeds and jaggery is specially prepared in Maharashtra during the festival of Makar Sankranti.,0.011987686157226562,"bihar. During the festival of Chhath, thekua, a sweet dish made of ghee, jaggery, and whole-meal flour, flavoured with aniseed, is made.",0.015145301818847656
Drink_and_snacks,Which Bengali sweet consists of paneer balls dipped in sugar syrup ?,west bengal. Rasgulla consists of paneer balls dipped in sugar syrup.,0.013121843338012695,"bihar. Another notable sweet dish of Bihar is balushahi, which is prepared by a specially treated combination of maida and sugar along with ghee, and the other worldwide famous sweet, khaja, also very popular, is made from flour, vegetable fat, and sugar, which is mainly used in weddings and other occasions.",0.017570972442626953
Drink_and_snacks,What generally concludes a meal in Assam ?,"assam. Paan, the practice of chewing betel nut, generally concludes a meal.",0.01293492317199707,"assam. A traditional meal in Assam begins with a khar, a class of dishes named after the main ingredient and ends with a tenga, a sour dish.",0.018434524536132812
Drink_and_snacks,Which version of rasgullais most famous in West Bengal?,"west bengal. The ""Jaggery Rasgullas"" are even more famous.",0.05761218070983887,"west bengal. The cuisine is known for subtle flavours with an emphasis on fish, meat, vegetables, lentils, and rice.",0.014431476593017578
Drink_and_snacks,Which soup is common among the Monpa tribe of the region?,arunachal pradesh. Thukpa is a kind of noodle soup common among the Monpa tribe of the region.,0.012999296188354492,arunachal pradesh. Thukpa is a kind of noodle soup common among the Monpa tribe of the region.,0.06151986122131348
Drink_and_snacks,Which beverage in Arunachal Pradesh is consumed as a refreshing drink ?,arunachal pradesh. Apong or rice beer made from fermented rice or millet is a popular beverage in Arunachal Pradesh and is consumed as a refreshing drink.,0.012497663497924805,Non-alcoholic beverages. Lassi is a traditional dahi (yogurt)-based drink in India.,0.016148805618286133
Drink_and_snacks,What is the popular sweet dish of Bihar ?,bihar. Dalpuri is another popular dish in Bihar.,0.011439323425292969,"bihar. Malpua is a popular sweet dish of Bihar, prepared by a mixture of maida, milk, bananas, cashew nuts, peanuts, raisins, sugar, water, and green cardamom.",0.013505220413208008
Drink_and_snacks,Which appetizer drink is made from kokam and coconut milk ?,Malwani. Sole kadi made from kokam and coconut milk is a signature appetizer drink .,0.011356353759765625,Malwani. Sole kadi made from kokam and coconut milk is a signature appetizer drink .,0.013047933578491211
Drink_and_snacks,Which liquor many Chhattisgarhi people drink ?,chhattisgarh. Many Chhattisgarhi people drink liquor brewed from the mahuwa flower palm wine (tadi in rural areas).,0.011508703231811523,chhattisgarh. Many Chhattisgarhi people drink liquor brewed from the mahuwa flower palm wine (tadi in rural areas).,0.013408899307250977
Drink_and_snacks,What is the other name of flattened rice usually eaten at breakfast and snacking in Maharashtra ?,Maharashtra. Poha or flattened rice is also usually eaten at breakfast.,0.01279449462890625,Maharashtra. Poha or flattened rice is also usually eaten at breakfast.,0.01667475700378418
Drink_and_snacks,what is the other name of panipuri ?,Chandigarh. Popular snacks include gol gappa (known as panipuri in other places).,0.05701732635498047,Chandigarh. Popular snacks include gol gappa (known as panipuri in other places).,0.013643264770507812
Drink_and_snacks,"What consists of a round, hollow puri, fried crisp and filled with a mixture of flavoured water ?","Chandigarh. It consists of a round, hollow puri, fried crisp and filled with a mixture of flavoured water, boiled and cubed potatoes, bengal gram beans, etc.",0.014331340789794922,"Non-alcoholic beverages. [159] It can be served in concentrate form and eaten with a spoon, or diluted with water to create a drink.",0.06227231025695801
Drink_and_snacks,Nalanda is famous for the production of which sweet ?,bihar. Silav near Nalanda is famous for its production.,0.011150121688842773,"bihar. During the festival of Chhath, thekua, a sweet dish made of ghee, jaggery, and whole-meal flour, flavoured with aniseed, is made.",0.012688875198364258
Drink_and_snacks,"Which haluva is the  other name of ""sweetmeat"" given by Europeans ?","Kerala. However, karutha haluva (black haluva) made from rice is also very popular.",0.013498544692993164,"Kerala. However, karutha haluva (black haluva) made from rice is also very popular.",0.02038431167602539
