lable,sentence
../data/Rajasthan.txt,"Cooking in Rajasthan, an arid region, has been strongly shaped by the availability of ingredients."
../data/Rajasthan.txt,"Food is generally cooked in milk or ghee, making it quite rich."
../data/Rajasthan.txt,Gram flour is a mainstay of Marwari food mainly due to the scarcity of vegetables in the area.
../data/Rajasthan.txt,"Historically, food that could last for several days and be eaten without heating was preferred."
../data/Rajasthan.txt,"Major dishes of a Rajasthani meal may include daal-baati, tarfini, raabdi, Ghevar, bail-gatte, panchkoota, chaavadi, laapsi, kadhi and boondi."
../data/Rajasthan.txt,"Typical snacks include bikaneri bhujia, mirchi bada, Pyaaj Kachori, and Dal Kachori."
../data/Rajasthan.txt,Daal-baati is the most popular dish prepared in the state.
../data/Rajasthan.txt,"It is usually supplemented with choorma, a mixture of finely ground baked rotis, sugar and ghee."
../data/Rajasthan.txt,"Rajasthan is also influenced by the Rajput community who have liking for meat dishes.Their diet consisted of game meat and gave birth to dishes like laal maas, safed maas, khad khargosh and jungli maas."
../data/Kerala.txt,"Traditional food of Kerala Hindus is vegetarian, with regional exceptions such as the food of the Malabar area."
../data/Kerala.txt,"It includes Kerala sadhya, which is an elaborate vegetarian banquet prepared for festivals and ceremonies."
../data/Kerala.txt,Contemporary Kerala food also includes nonvegetarian dishes.
../data/Kerala.txt,"A full-course sadya, which consists of rice with about 20 different accompaniments and desserts is the ceremonial meal, eaten usually on celebrations such as marriages, Onam, Vishu, etc."
../data/Kerala.txt,and is served on a plantain leaf.
../data/Kerala.txt,"Fish and seafood play a major role in Kerala cuisine, as Kerala is a coastal state."
../data/Kerala.txt,"An everyday Kerala meal in most households consists of rice with fish curry made of sardines, mackerel, seer fish, king fish, pomfret, prawns, shrimp, sole, anchovy, parrotfish, etc."
../data/Kerala.txt,"(mussels, oysters, crabs, squid, scallops etc."
../data/Kerala.txt,"are not rare), vegetable curry and stir-fried vegetables with or without coconut traditionally known as thoran or mizhukkupiratti."
../data/Kerala.txt,"As Kerala has large inland water bodies, freshwater fish are abundant, and constitute regular meals."
../data/Kerala.txt,"It is common in Kerala to have a breakfast with nonvegetarian dishes in restaurants, in contrast to other states in India."
../data/Kerala.txt,"Chicken/mutton stews, lamb/chicken/beef/pork/egg curry, fish curry with tapioca for breakfast are common."
../data/Kerala.txt,A wide range of breakfast with non-vegetarian is common in Malabar and in Central Kerala.
../data/Kerala.txt,Kerala cuisine reflects its rich trading heritage.
../data/Kerala.txt,"Over time, various cuisines have blended with indigenous dishes, while foreign ones have been adapted to local tastes."
../data/Kerala.txt,"Significant Arab, Syrian, Portuguese, Dutch, Jewish, and Middle Eastern influences exist in this region's cuisine, through ancient trade routes via the Arabian Sea and through Arab traders who settled here, contributed to the evolution of kozhikodan halwa along with other dishes like Thalassery biryani."
../data/Kerala.txt,"Coconuts grow in abundance in Kerala, so grated coconut and coconut milk are commonly used for thickening and flavouring."
../data/Kerala.txt,"Kerala's long coastline and numerous rivers have led to a strong fishing industry in the region, making seafood a common part of the meal."
../data/Kerala.txt,"Rice is grown in abundance, along with tapioca."
